# mode	english	candidate	weight	comment
jp	above	仝	899	~(どう)
jp	mark	仝	899	~(どう)
jp	as-above-mark	仝	899	~(どう)
jp	alphabetical	ＡＢＣ順	899	~(エービーシーじゅん)
jp	order	ＡＢＣ順	899	~(エービーシーじゅん)
jp	alphabetical-order	ＡＢＣ順	899	~(エービーシーじゅん)
jp	nhk	Ｎ響	899	~(エヌきょう)
jp	symphony	Ｎ響	899	~(エヌきょう)
jp	orchestra	Ｎ響	899	~(エヌきょう)
jp	nhk-symphony-orchestra	Ｎ響	899	~(エヌきょう)
jp	harmonizing	阿吽の呼吸	899	~(あうんのこきゅう)
jp	harmonizing	あうんの呼吸	899	~(あうんのこきゅう)
jp	harmonizing	あ・うんの呼吸	899	~(あうんのこきゅう)
jp	mentally	阿吽の呼吸	899	~(あうんのこきゅう)
jp	mentally	あうんの呼吸	899	~(あうんのこきゅう)
jp	mentally	あ・うんの呼吸	899	~(あうんのこきゅう)
jp	physically	阿吽の呼吸	899	~(あうんのこきゅう)
jp	physically	あうんの呼吸	899	~(あうんのこきゅう)
jp	physically	あ・うんの呼吸	899	~(あうんのこきゅう)
jp	two	阿吽の呼吸	899	~(あうんのこきゅう)
jp	two	あうんの呼吸	899	~(あうんのこきゅう)
jp	two	あ・うんの呼吸	899	~(あうんのこきゅう)
jp	parties	阿吽の呼吸	899	~(あうんのこきゅう)
jp	parties	あうんの呼吸	899	~(あうんのこきゅう)
jp	parties	あ・うんの呼吸	899	~(あうんのこきゅう)
jp	engaged	阿吽の呼吸	899	~(あうんのこきゅう)
jp	engaged	あうんの呼吸	899	~(あうんのこきゅう)
jp	engaged	あ・うんの呼吸	899	~(あうんのこきゅう)
jp	activity	阿吽の呼吸	899	~(あうんのこきゅう)
jp	activity	あうんの呼吸	899	~(あうんのこきゅう)
jp	activity	あ・うんの呼吸	899	~(あうんのこきゅう)
jp	dancing	阿吽の呼吸	898	~(あうんのこきゅう)
jp	dancing	あうんの呼吸	898	~(あうんのこきゅう)
jp	dancing	あ・うんの呼吸	898	~(あうんのこきゅう)
jp	same	阿吽の呼吸	898	~(あうんのこきゅう)
jp	same	あうんの呼吸	898	~(あうんのこきゅう)
jp	same	あ・うんの呼吸	898	~(あうんのこきゅう)
jp	beat	阿吽の呼吸	898	~(あうんのこきゅう)
jp	beat	あうんの呼吸	898	~(あうんのこきゅう)
jp	beat	あ・うんの呼吸	898	~(あうんのこきゅう)
jp	obvious	明白	899	~(めいはく)
jp	plain	明白	898	~(めいはく)
jp	apparent	明白	897	~(めいはく)
jp	overt	明白	896	~(めいはく)
jp	plain	偸閑	899	~(あからさま)
jp	plain	白地	899	~(あからさま)
jp	candid	明白	898	~(あからさま)
jp	candid	偸閑	898	~(あからさま)
jp	candid	白地	898	~(あからさま)
jp	direct	明白	897	~(あからさま)
jp	direct	偸閑	897	~(あからさま)
jp	direct	白地	897	~(あからさま)
jp	unabashed	明白	896	~(あからさま)
jp	unabashed	偸閑	896	~(あからさま)
jp	unabashed	白地	896	~(あからさま)
jp	flagrant	明白	895	~(あからさま)
jp	flagrant	偸閑	895	~(あからさま)
jp	flagrant	白地	895	~(あからさま)
jp	useless	明かん	899	~(あかん,アカン,あかーん)
jp	hopeless	明かん	898	~(あかん,アカン,あかーん)
jp	cannot	明かん	897	~(あかん,アカン,あかーん)
jp	not	明かん	896	~(あかん,アカン,あかーん)
jp	allowed	明かん	896	~(あかん,アカン,あかーん)
jp	not-allowed	明かん	896	~(あかん,アカン,あかーん)
jp	gaudy	悪どい	899	~(あくどい)
jp	gaudy	灰汁どい	899	~(あくどい)
jp	garish	悪どい	898	~(あくどい)
jp	garish	灰汁どい	898	~(あくどい)
jp	crooked	悪どい	897	~(あくどい)
jp	crooked	灰汁どい	897	~(あくどい)
jp	wicked	悪どい	896	~(あくどい)
jp	wicked	灰汁どい	896	~(あくどい)
jp	unscrupulous	悪どい	895	~(あくどい)
jp	unscrupulous	灰汁どい	895	~(あくどい)
jp	discuss	論う	899	~(あげつらう)
jp	to-discuss	論う	899	~(あげつらう)
jp	find	論う	898	~(あげつらう)
jp	fault	論う	898	~(あげつらう)
jp	to-find-fault-with	論う	898	~(あげつらう)
jp	criticise	論う	897	~(あげつらう)
jp	to-criticise	論う	897	~(あげつらう)
jp	treat	遇う	899	~(あしらう)
jp	treat	配う	899	~(あしらう)
jp	to-treat	遇う	899	~(あしらう)
jp	to-treat	配う	899	~(あしらう)
jp	deal	遇う	898	~(あしらう)
jp	deal	配う	898	~(あしらう)
jp	to-deal-with	遇う	898	~(あしらう)
jp	to-deal-with	配う	898	~(あしらう)
jp	arrange	遇う	897	~(あしらう)
jp	arrange	配う	897	~(あしらう)
jp	to-arrange	遇う	897	~(あしらう)
jp	to-arrange	配う	897	~(あしらう)
jp	adorn	遇う	896	~(あしらう)
jp	adorn	配う	896	~(あしらう)
jp	to-adorn	遇う	896	~(あしらう)
jp	to-adorn	配う	896	~(あしらう)
jp	garnish	遇う	895	~(あしらう)
jp	garnish	配う	895	~(あしらう)
jp	to-garnish	遇う	895	~(あしらう)
jp	to-garnish	配う	895	~(あしらう)
jp	japanese	馬酔木	899	~(あせび,あしび,あせぼ)
jp	andromeda	馬酔木	899	~(あせび,あしび,あせぼ)
jp	japanese-andromeda	馬酔木	899	~(あせび,あしび,あせぼ)
jp	there	彼処	899	~(あそこ,あすこ,かしこ)
jp	there	彼所	899	~(あそこ,あすこ,かしこ)
jp	place	彼処	898	~(あそこ,あすこ,かしこ)
jp	place	彼所	898	~(あそこ,あすこ,かしこ)
jp	that-place	彼処	898	~(あそこ,あすこ,かしこ)
jp	that-place	彼所	898	~(あそこ,あすこ,かしこ)
jp	you-know-where	彼処	897	~(あそこ,あすこ,かしこ)
jp	you-know-where	彼所	897	~(あそこ,あすこ,かしこ)
jp	genitals	彼処	896	~(あそこ,あすこ,かしこ)
jp	genitals	彼所	896	~(あそこ,あすこ,かしこ)
jp	nether	彼処	895	~(あそこ,あすこ,かしこ)
jp	nether	彼所	895	~(あそこ,あすこ,かしこ)
jp	regions	彼処	895	~(あそこ,あすこ,かしこ)
jp	regions	彼所	895	~(あそこ,あすこ,かしこ)
jp	nether-regions	彼処	895	~(あそこ,あすこ,かしこ)
jp	nether-regions	彼所	895	~(あそこ,あすこ,かしこ)
jp	far	彼処	894	~(あそこ,あすこ,かしこ)
jp	far	彼所	894	~(あそこ,あすこ,かしこ)
jp	that-far	彼処	894	~(あそこ,あすこ,かしこ)
jp	that-far	彼所	894	~(あそこ,あすこ,かしこ)
jp	point	彼処	893	~(あそこ,あすこ,かしこ)
jp	point	彼所	893	~(あそこ,あすこ,かしこ)
jp	that-point	彼処	893	~(あそこ,あすこ,かしこ)
jp	that-point	彼所	893	~(あそこ,あすこ,かしこ)
jp	instant	あっという間に	899	~(あっというまに)
jp	instant	あっと言う間に	899	~(あっというまに)
jp	instant	アッという間に	899	~(あっというまに)
jp	instant	アッと言う間に	899	~(あっというまに)
jp	in-an-instant	あっという間に	899	~(あっというまに)
jp	in-an-instant	あっと言う間に	899	~(あっというまに)
jp	in-an-instant	アッという間に	899	~(あっというまに)
jp	in-an-instant	アッと言う間に	899	~(あっというまに)
jp	blink	あっという間に	898	~(あっというまに)
jp	blink	あっと言う間に	898	~(あっというまに)
jp	blink	アッという間に	898	~(あっというまに)
jp	blink	アッと言う間に	898	~(あっというまに)
jp	eye	あっという間に	898	~(あっというまに)
jp	eye	あっと言う間に	898	~(あっというまに)
jp	eye	アッという間に	898	~(あっというまに)
jp	eye	アッと言う間に	898	~(あっというまに)
jp	just	あっという間に	897	~(あっというまに)
jp	just	あっと言う間に	897	~(あっというまに)
jp	just	アッという間に	897	~(あっというまに)
jp	just	アッと言う間に	897	~(あっというまに)
jp	like	あっという間に	897	~(あっというまに)
jp	like	あっと言う間に	897	~(あっというまに)
jp	like	アッという間に	897	~(あっというまに)
jp	like	アッと言う間に	897	~(あっというまに)
jp	just-like-that	あっという間に	897	~(あっというまに)
jp	just-like-that	あっと言う間に	897	~(あっというまに)
jp	just-like-that	アッという間に	897	~(あっというまに)
jp	just-like-that	アッと言う間に	897	~(あっというまに)
jp	person	あの人	898	~(あのひと)
jp	person	彼の人	898	~(あのひと)
jp	that-person	あの人	898	~(あのひと)
jp	that-person	彼の人	898	~(あのひと)
jp	you	あの人	897	~(あのひと)
jp	you	彼の人	897	~(あのひと)
jp	gentleman	あの方	899	~(あのかた)
jp	gentleman	彼の方	899	~(あのかた)
jp	that-gentleman	あの方	899	~(あのかた)
jp	that-gentleman	彼の方	899	~(あのかた)
jp	fail	溢れる	899	~(あぶれる)
jp	to-fail	溢れる	899	~(あぶれる)
jp	left	溢れる	898	~(あぶれる)
jp	out	溢れる	898	~(あぶれる)
jp	to-be-left-out	溢れる	898	~(あぶれる)
jp	fool	阿呆陀羅	899	~(あほんだら,あほだら,アホンダラ)
jp	airhead	阿呆陀羅	898	~(あほんだら,あほだら,アホンダラ)
jp	mock	阿呆陀羅	897	~(あほんだら,あほだら,アホンダラ)
jp	buddhist	阿呆陀羅	897	~(あほんだら,あほだら,アホンダラ)
jp	sutra	阿呆陀羅	897	~(あほんだら,あほだら,アホンダラ)
jp	mock-buddhist-sutra	阿呆陀羅	897	~(あほんだら,あほだら,アホンダラ)
jp	land-locked	甘子	899	~(あまご,アマゴ)
jp	land-locked	天魚	899	~(あまご,アマゴ)
jp	land-locked	雨子	899	~(あまご,アマゴ)
jp	variety	甘子	899	~(あまご,アマゴ)
jp	variety	天魚	899	~(あまご,アマゴ)
jp	variety	雨子	899	~(あまご,アマゴ)
jp	red-spotted	甘子	899	~(あまご,アマゴ)
jp	red-spotted	天魚	899	~(あまご,アマゴ)
jp	red-spotted	雨子	899	~(あまご,アマゴ)
jp	masu	甘子	899	~(あまご,アマゴ)
jp	masu	天魚	899	~(あまご,アマゴ)
jp	masu	雨子	899	~(あまご,アマゴ)
jp	trout	甘子	899	~(あまご,アマゴ)
jp	trout	天魚	899	~(あまご,アマゴ)
jp	trout	雨子	899	~(あまご,アマゴ)
jp	person	彼	898	~(あれ,アレ)
jp	person	彼れ	898	~(あれ,アレ)
jp	that-person	彼	898	~(あれ,アレ)
jp	that-person	彼れ	898	~(あれ,アレ)
jp	then	彼	897	~(あれ,アレ)
jp	then	彼れ	897	~(あれ,アレ)
jp	place	彼	896	~(あれ,アレ)
jp	place	彼れ	896	~(あれ,アレ)
jp	that-place	彼	896	~(あれ,アレ)
jp	that-place	彼れ	896	~(あれ,アレ)
jp	down	彼	895	~(あれ,アレ)
jp	down	彼れ	895	~(あれ,アレ)
jp	there	彼	895	~(あれ,アレ)
jp	there	彼れ	895	~(あれ,アレ)
jp	down-there	彼	895	~(あれ,アレ)
jp	down-there	彼れ	895	~(あれ,アレ)
jp	period	彼	894	~(あれ,アレ)
jp	period	彼れ	894	~(あれ,アレ)
jp	shape	いい加減にしなさい	899	~(いいかげんにしなさい)
jp	shape-up	いい加減にしなさい	899	~(いいかげんにしなさい)
jp	old	いい年をして	899	~(いいとしをして)
jp	old	いい歳をして	899	~(いいとしをして)
jp	enough	いい年をして	899	~(いいとしをして)
jp	enough	いい歳をして	899	~(いいとしをして)
jp	know	いい年をして	899	~(いいとしをして)
